episode,reward,rolling_reward_50
405,-104.66607846326552,-21.776090866850122
406,-341.3079186314071,-33.580463216781006
407,-71.55051887455843,-32.20421008238578
408,-108.99443557935827,-29.71614006501778
409,-284.8120991814044,-39.08636642182828
410,152.58957406884622,-36.29614901646286
411,-80.14153575682275,-41.79584656186696
412,-113.0177242136123,-48.37399731257065
413,-52.37255576458687,-45.54527808799804
414,-135.25730825904856,-44.52321388782732
415,-113.7520189763403,-50.43049170556789
416,-141.83623158802018,-55.442645406397766
417,-118.53043699627412,-56.96653358649498
418,-151.50689193255621,-55.98976605917059
419,-146.8258412482537,-63.407047757658134
420,-120.38093569917712,-66.57780025836131
421,-150.35743024148042,-69.89907242949417
422,-173.76714509302153,-70.16741418693343
423,-121.55127977050215,-69.99684216597461
424,-49.037446317060244,-70.29333428914737
425,-157.0104778396532,-67.34885220999136
426,-121.53106510496363,-67.71633514955374
427,-137.67981800438844,-66.14429043607113
428,-395.13766464447343,-71.84195060282109
429,-154.45898534140198,-74.75081465011169
430,-171.4407369702467,-82.66959361887523
431,-177.42183023140464,-86.15994709188499
432,-134.06892487303142,-91.48812425216009
433,-527.8912235073235,-104.35622518767455
434,-96.17006103630479,-102.77011132427809
435,-26.69033013834796,-107.54058226241342
436,19.381832565199062,-103.0170920400699
437,-710.0535603022347,-121.70555267389601
438,-107.92172817223789,-126.78810830547879
439,-157.5625421375301,-128.52281286871877
440,-114.82706236429647,-128.3466525051848
441,-165.46638776184346,-125.96348867543473
442,-22.962972443505933,-126.9469333514098
443,-300.6095993838792,-137.92849334328506
444,-145.36763968569932,-139.78699530274568
445,-143.84180296954915,-139.10695241835637
446,-113.65389185274475,-144.60248293190816
447,-148.80395188593852,-144.43352862444522
448,-117.73295245524142,-143.72537983780992
449,-79.88470133761017,-144.25446422867137
450,104.71583127792998,-141.65121630887256
451,-227.2549826383556,-143.80783432967817
452,-133.88257046502486,-145.4542500890581
453,-151.2937886377951,-146.71334082611028
454,-57.81999308687449,-146.02839679893353
455,115.18603764049934,-141.6313544768582
456,-164.37374897369241,-138.09267108370392
457,212.2622443551469,-132.41641581910983
458,-296.56092401116643,-136.16774558774597
459,-134.8406154383473,-133.16831591288482
460,-121.7682282482476,-138.6554719592267
461,-176.64663831576252,-140.5855740104055
462,196.29382754871045,-134.39934297515904
463,245.5721705348369,-128.4404484491706
464,63.331004165627775,-124.46868220067707
465,-183.56255675736224,-125.8648929562975
466,202.69351721662898,-118.97429798020451
467,-28.641978695855215,-117.17652881419613
468,-186.13223851234832,-117.86903574579198
469,-239.07709001306415,-119.71406072108819
470,213.63378707870126,-113.03376626553062
471,-226.7819178137956,-114.56225601697693
472,252.46142725206204,-106.03768457007524
473,224.78351812319067,-99.1109886122014
474,170.36127238077395,-94.72301423824473
475,218.96557139703012,-87.20349325351104
476,229.2106246309481,-80.1886594587928
477,227.08050548829877,-72.89345298893907
478,45.27078861907995,-64.085283923668
479,227.2264828069571,-56.45157456070081
480,-232.46684170315743,-57.672096655359034
481,185.66968166502795,-50.41026641743038
482,-148.24923150352595,-50.69387255004026
483,227.70818777639266,-35.581884324365944
484,202.7912760321493,-29.602657582996866
485,-260.49826162019815,-34.27881621263386
486,22.636778384277648,-34.21371729625229
487,250.7173328937963,-14.998299432331667
488,145.09423426627805,-9.937980183561352
489,256.69692160966287,-1.6527909086174921
490,-209.46673853975798,-3.545584432126724
491,217.5121605745685,4.113986534601516
492,223.0538142602152,9.03432226867594
493,-181.89519759754754,11.408610304402576
494,272.3475459150667,19.7629140164179
495,-109.94988251769291,20.44075242545502
496,190.71251568508387,26.528080576211593
497,5.927169770550279,29.622703009341368
498,-13.878596997697002,31.699790118492256
499,18.25299519031472,33.66254404905076
500,171.15435603360197,34.99131454416419
501,16.60656912131482,39.8685455793576
502,284.82903314715577,48.242777651601216
503,9.062817684415549,51.44990977804543
504,-31.889290700400437,51.96852382577491
505,-50.50744023685194,48.65465426822787
506,-19.78752345896278,51.546378778522474
507,223.05097500907488,51.76215339160104
508,217.71513677893546,62.047674607403074
509,-30.58535639879689,64.1327797881941
510,262.4728089982558,71.81760053312418
511,52.0626953327764,76.39178720609495
512,258.9884546345626,77.64567974781197
513,-24.419309656258292,72.24585014399007
514,18.80990455731404,71.35542815182379
515,-21.162724898794465,74.60342478899516
516,173.97498328370074,74.02905411033659
517,256.47747093485754,79.73144310295085
518,-29.64204766849214,82.86124691982798
519,-55.07068488583398,86.54137502237258
520,-20.081069665597752,81.8670778874866
521,-49.42630138852547,85.414190215992
522,-4.673736351422377,80.2714869439223
523,226.4835271066833,80.30548712359216
524,-218.0400011831845,72.537461652313
525,-43.0096625430338,67.29795697351172
526,-36.86969125509455,61.97635065579085
527,-29.39898850482838,56.84676077592832
528,-15.636495896807432,55.62861508561057
529,-78.4756062842436,49.51457330378655
530,-46.88473795066729,53.22621537883634
531,-10.39269975073978,49.30496775052099
532,-15.783227387977718,51.95428783283196
533,255.11607613788894,52.50244560006188
534,-62.98731065212331,47.18687386637643
535,148.90422515204267,55.37492360182125
536,195.36766781229866,58.829541390381664
537,191.795610889817,57.65110695030208
538,13.075410564139872,55.01073047625931
539,232.77264199953612,54.53224488405678
540,-63.57197017259908,57.450140251399965
541,271.46875240005113,58.52927208790962
542,-257.03421623591794,48.927511477986954
